PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10246,0,0,0.84,-129.674,127.637,0,0,0,0
10247,0,0,0.834,-128.802,128.128,0,0,0,0
10248,0,0,0.828,-127.929,128.62,0,0,0,0
10249,0,0,0.823,-127.057,129.111,0,0,0,0
10250,0,0,0.817,-126.185,129.603,0,0,0,0
10251,0,0,0.812,-125.312,130.094,0,0,0,0
10252,0,0,0.806,-124.44,130.585,0,0,0,0
10253,0,0,0.801,-123.568,131.077,0,0,0,0
10254,0,0,0.795,-122.696,131.568,0,0,0,0
10255,0,0,0.79,-121.823,132.06,0,0,0,0
10256,0,0,0.784,-120.951,132.551,0,0,0,0
10257,0,0,0.778,-120.079,133.043,0,0,0,0
10258,0,0,0.773,-119.206,133.534,0,0,0,0
10259,0,0,0.767,-118.334,134.025,0,0,0,0
10260,0,0,0.762,-117.462,134.517,0,0,0,0
10261,0,0,0.756,-116.589,135.008,0,0,0,0
10262,0,0,0.751,-115.717,135.5,0,0,0,0
10263,0,0,0.745,-114.845,135.991,0,0,0,0
10264,0,0,0.74,-113.973,136.483,0,0,0,0
10265,0,0,0.74,-112.986,137.032,0,0,0,0
10266,0,0,0.746,-112.017,137.592,0,0,0,0
10267,0,0,0.723,-111.059,138.161,0,0,0,0
10268,0,0,0.724,-110.108,138.667,0,0,0,0
10269,0,0,0.726,-109.139,139.165,0,0,0,0
10270,0,0,0.725,-108.222,139.602,0,0,0,0
10271,0,0,0.706,-107.324,140.027,0,0,0,0
10272,0,0,0.716,-106.237,140.399,0,0,0,0
10273,0,0,0.726,-105.096,140.712,0,0,0,0
10274,0,0,0.705,-104.078,140.896,0,0,0,0
10275,0,0,0.708,-102.989,140.958,0,0,0,0
10276,0,0,0.684,-101.925,140.966,0,0,0,0
10277,0,0,0.689,-100.864,140.834,0,0,0,0
10278,0,0,0.67,-99.849,140.57,0,0,0,0
10279,0,0,0.671,-98.855,140.167,0,0,0,0
10280,0,0,0.65,-97.95,139.695,0,0,0,0
10281,0,0,0.649,-97.053,139.118,0,0,0,0
10282,0,0,0.613,-96.272,138.504,0,0,0,0
10283,0,0,0.599,-95.531,137.836,0,0,0,0
10284,0,0,0.572,-94.76,136.957,0,0,0,0
10285,0,0,0.571,-94.141,136.162,0,0,0,0
10286,0,0,0.541,-93.484,135.182,0,0,0,0
10287,0,0,0.544,-92.955,134.32,0,0,0,0
10288,0,0,0.528,-92.404,133.405,0,0,0,0
10289,0,0,0.523,-91.857,132.45,0,0,0,0
10290,0,0,0.51,-91.309,131.46,0,0,0,0
10291,0,0,0.505,-90.713,130.455,0,0,0,0
10292,0,0,0.498,-90.115,129.401,0,0,0,0
10293,0,0,0.49,-89.608,128.524,0,0,0,0
10294,0,0,0.467,-89.118,127.649,0,0,0,0
10295,0,0,0.465,-88.627,126.774,0,0,0,0
10296,0,0,0.315,-88.16,125.893,0,0,0,0
10297,0,0,0.432,-87.595,124.864,0,0,0,0
10298,0,0,0.437,-87.064,123.907,0,0,0,0
10299,0,0,0.502,-86.577,123.025,0,0,0,0
10300,0,0,0.465,-86.042,122.075,0,0,0,0
10301,0,0,0.459,-85.545,121.086,0,0,0,0
