PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10206,0,0,0.53,-88.89,126.468,0,0,0,0
10207,0,0,0.524,-88.396,125.583,0,0,0,0
10208,0,0,0.517,-87.902,124.697,0,0,0,0
10209,0,0,0.511,-87.408,123.811,0,0,0,0
10210,0,0,0.504,-86.913,122.925,0,0,0,0
10211,0,0,0.498,-86.419,122.039,0,0,0,0
10212,0,0,0.492,-85.925,121.154,0,0,0,0
10213,0,0,0.485,-85.431,120.268,0,0,0,0
10214,0,0,0.479,-84.937,119.382,0,0,0,0
10215,0,0,0.472,-84.442,118.496,0,0,0,0
10216,0,0,0.466,-83.948,117.611,0,0,0,0
10217,0,0,0.46,-83.454,116.725,0,0,0,0
10218,0,0,0.453,-82.96,115.839,0,0,0,0
10219,0,0,0.447,-82.466,114.953,0,0,0,0
10220,0,0,0.441,-81.972,114.068,0,0,0,0
10221,0,0,0.437,-81.413,112.95,0,0,0,0
10222,0,0,0.437,-80.924,111.815,0,0,0,0
10223,0,0,0.383,-80.489,110.617,0,0,0,0
10224,0,0,0.408,-80.125,109.461,0,0,0,0
10225,0,0,0.412,-79.845,108.266,0,0,0,0
10226,0,0,0.424,-79.615,107.123,0,0,0,0
10227,0,0,0.42,-79.487,105.946,0,0,0,0
10228,0,0,0.425,-79.412,104.771,0,0,0,0
10229,0,0,0.407,-79.442,103.611,0,0,0,0
10230,0,0,0.393,-79.551,102.412,0,0,0,0
10231,0,0,0.385,-79.691,101.226,0,0,0,0
10232,0,0,0.389,-79.918,100.08,0,0,0,0
10233,0,0,0.41,-80.229,99.003,0,0,0,0
10234,0,0,0.396,-80.59,97.932,0,0,0,0
10235,0,0,0.402,-81.043,96.918,0,0,0,0
10236,0,0,0.385,-81.524,95.923,0,0,0,0
10237,0,0,0.397,-82.122,94.973,0,0,0,0
10238,0,0,0.388,-82.764,94.032,0,0,0,0
10239,0,0,0.402,-83.461,93.185,0,0,0,0
10240,0,0,0.411,-84.231,92.375,0,0,0,0
10241,0,0,0.411,-85.049,91.63,0,0,0,0
10242,0,0,0.419,-85.906,90.911,0,0,0,0
10243,0,0,0.412,-86.776,90.301,0,0,0,0
10244,0,0,0.415,-87.702,89.697,0,0,0,0
10245,0,0,0.409,-88.676,89.121,0,0,0,0
10246,0,0,0.415,-89.692,88.51,0,0,0,0
10247,0,0,0.426,-90.793,87.894,0,0,0,0
10248,0,0,0.439,-91.676,87.401,0,0,0,0
10249,0,0,0.448,-92.579,86.908,0,0,0,0
10250,0,0,0.465,-93.502,86.426,0,0,0,0
10251,0,0,0.474,-94.421,85.92,0,0,0,0
10252,0,0,0.482,-95.364,85.438,0,0,0,0
10253,0,0,0.477,-96.272,84.972,0,0,0,0
10254,0,0,0.487,-97.197,84.508,0,0,0,0
10255,0,0,0.487,-98.09,84.025,0,0,0,0
10256,0,0,0.501,-98.997,83.585,0,0,0,0
10257,0,0,0.515,-100.156,82.956,0,0,0,0
10258,0,0,0.536,-101.312,82.367,0,0,0,0
10259,0,0,0.517,-102.449,81.762,0,0,0,0
10260,0,0,0.533,-103.561,81.154,0,0,0,0
10261,0,0,0.54,-104.654,80.538,0,0,0,0
10262,0,0,0.529,-105.721,79.945,0,0,0,0
10263,0,0,0.536,-106.76,79.299,0,0,0,0
10264,0,0,0.537,-107.815,78.669,0,0,0,0
10265,0,0,0.572,-108.749,78.017,0,0,0,0
10266,0,0,0.571,-109.638,77.315,0,0,0,0
10267,0,0,0.57,-110.511,76.56,0,0,0,0
10268,0,0,0.535,-111.233,75.778,0,0,0,0
10269,0,0,0.555,-111.904,74.869,0,0,0,0
10270,0,0,0.53,-112.425,73.928,0,0,0,0
10271,0,0,0.522,-112.785,72.981,0,0,0,0
10272,0,0,0.533,-113.069,71.985,0,0,0,0
10273,0,0,0.541,-113.168,70.765,0,0,0,0
10274,0,0,0.533,-113.096,69.583,0,0,0,0
10275,0,0,0.54,-112.846,68.391,0,0,0,0
10276,0,0,0.535,-112.329,67.339,0,0,0,0
10277,0,0,0.539,-111.872,66.244,0,0,0,0
10278,0,0,0.522,-111.373,65.373,0,0,0,0
10279,0,0,0.517,-110.898,64.471,0,0,0,0
10280,0,0,0.505,-110.371,63.533,0,0,0,0
10281,0,0,0.499,-109.838,62.609,0,0,0,0
10282,0,0,0.492,-109.304,61.685,0,0,0,0
10283,0,0,0.486,-108.771,60.762,0,0,0,0
10284,0,0,0.48,-108.238,59.838,0,0,0,0
10285,0,0,0.473,-107.705,58.914,0,0,0,0
10286,0,0,0.451,-106.759,57.86,0,0,0,0
10287,0,0,0.431,-105.815,56.807,0,0,0,0
10288,0,0,0.425,-105.321,55.932,0,0,0,0
10289,0,0,0.418,-104.827,55.058,0,0,0,0
10290,0,0,0.412,-104.334,54.184,0,0,0,0
10291,0,0,0.405,-103.841,53.31,0,0,0,0
10292,0,0,0.398,-103.347,52.436,0,0,0,0
10293,0,0,0.392,-102.854,51.562,0,0,0,0
10294,0,0,0.386,-102.361,50.688,0,0,0,0
10295,0,0,0.379,-101.867,49.814,0,0,0,0
10296,0,0,0.373,-101.374,48.94,0,0,0,0
10297,0,0,0.366,-100.881,48.066,0,0,0,0
10298,0,0,0.36,-100.388,47.193,0,0,0,0
10299,0,0,0.335,-99.734,45.925,0,0,0,0
10300,0,0,0.342,-99.283,45.04,0,0,0,0
10301,0,0,0.328,-98.598,43.779,0,0,0,0
10302,0,0,0.323,-98.115,42.86,0,0,0,0
10303,0,0,0.318,-97.632,41.942,0,0,0,0
10304,0,0,0.313,-97.149,41.024,0,0,0,0
10305,0,0,0.308,-96.667,40.106,0,0,0,0
10306,0,0,0.303,-96.184,39.188,0,0,0,0
10307,0,0,0.298,-95.701,38.269,0,0,0,0
10308,0,0,0.293,-95.219,37.351,0,0,0,0
10309,0,0,0.288,-94.736,36.433,0,0,0,0
10310,0,0,0.283,-94.253,35.515,0,0,0,0
10311,0,0,0.279,-93.771,34.597,0,0,0,0
10312,0,0,0.267,-93.316,33.683,0,0,0,0
10313,0,0,0.27,-92.85,32.776,0,0,0,0
10314,0,0,0.275,-92.388,31.865,0,0,0,0
10315,0,0,0.267,-91.951,30.964,0,0,0,0
10316,0,0,0.245,-91.5,30.048,0,0,0,0
10317,0,0,0.259,-91.024,29.115,0,0,0,0
10318,0,0,0.249,-90.585,28.224,0,0,0,0
10319,0,0,0.239,-90.147,27.308,0,0,0,0
10320,0,0,0.24,-89.664,26.38,0,0,0,0
10321,0,0,0.246,-89.252,25.449,0,0,0,0
10322,0,0,0.242,-88.803,24.508,0,0,0,0
10323,0,0,0.237,-88.365,23.55,0,0,0,0
10324,0,0,0.251,-87.937,22.619,0,0,0,0
10325,0,0,0.235,-87.502,21.662,0,0,0,0
10326,0,0,0.216,-87.093,20.718,0,0,0,0
10327,0,0,0.224,-86.688,19.752,0,0,0,0
10328,0,0,0.234,-86.269,18.785,0,0,0,0
10329,0,0,0.227,-85.857,17.805,0,0,0,0
10330,0,0,0.211,-85.414,16.835,0,0,0,0
